datastay,category,phq_attendance,duration,local_rank
2021-06-18,performing-arts,843,0,56
2021-06-18,performing-arts,904,0,56
2021-06-18,performing-arts,480,0,51
2021-06-18,performing-arts,422,0,50
2021-06-18,performing-arts,467,0,51
2021-06-18,sports,22500,0,89
2021-06-18,performing-arts,1000,0,58
2021-06-18,performing-arts,355,0,48
2021-06-18,community,350,0,49
2021-06-18,performing-arts,602,0,53
2021-06-18,community,1000,19800,56
2021-06-18,performing-arts,696,0,54
2021-06-18,concerts,700,14400,52
2021-06-18,community,350,0,48
2021-06-18,community,350,14400,47
2021-06-18,performing-arts,647,0,53
2021-06-18,performing-arts,432,0,50
2021-06-18,performing-arts,1000,0,57
2021-06-18,performing-arts,666,0,54
2021-06-19,performing-arts,742,0,55
2021-06-19,community,400,21600,48
2021-06-19,performing-arts,1000,0,57
2021-06-19,performing-arts,422,0,50
2021-06-19,performing-arts,458,0,50
2021-06-19,performing-arts,904,0,56
2021-06-19,performing-arts,647,0,53
2021-06-19,performing-arts,1000,0,57
2021-06-19,performing-arts,467,0,51
2021-06-19,performing-arts,602,0,53
2021-06-19,performing-arts,432,0,50
2021-06-19,performing-arts,696,0,54
2021-06-19,concerts,400,0,48
2021-06-19,concerts,350,0,49
2021-06-19,performing-arts,480,0,51
2021-06-19,concerts,1000,14400,55
2021-06-19,community,1000,0,57
2021-06-19,performing-arts,732,0,54
2021-06-19,performing-arts,1000,0,58
2021-06-19,performing-arts,843,0,56
2021-06-19,concerts,350,0,48
2021-06-19,community,350,0,48
2021-06-19,concerts,450,0,50
2021-06-19,performing-arts,355,0,48
2021-06-19,community,350,30600,47
2021-06-19,performing-arts,355,0,48
2021-06-19,concerts,450,7200,51
2021-06-19,performing-arts,666,0,54
2021-06-19,concerts,700,19800,52
2021-06-20,concerts,700,35100,53
2021-06-20,performing-arts,843,0,56
2021-06-20,concerts,500,0,50
2021-06-20,performing-arts,1000,0,57
2021-06-20,community,350,0,49
2021-06-20,performing-arts,387,0,49
2021-06-20,performing-arts,647,0,53
2021-06-20,community,350,0,48
2021-06-20,performing-arts,1000,0,57
2021-06-20,concerts,2500,9000,65
2021-06-20,performing-arts,432,0,50
2021-06-20,performing-arts,732,0,54
2021-06-20,community,350,25200,47
2021-06-20,conferences,800,172799,55
2021-06-20,performing-arts,467,0,51
2021-06-21,performing-arts,467,0,51
2021-06-21,performing-arts,480,0,51
2021-06-21,performing-arts,843,0,56
2021-06-21,community,850,18000,56
2021-06-21,performing-arts,422,0,50
2021-06-21,performing-arts,1000,0,58
2021-06-21,performing-arts,742,0,55
2021-06-21,concerts,700,0,53
2021-06-21,expos,650,950399,54
2021-06-21,performing-arts,843,0,56
2021-06-21,community,350,0,48
2021-06-21,conferences,800,172799,55
2021-06-21,performing-arts,1000,0,57
2021-06-21,performing-arts,666,0,54
2021-06-22,sports,22500,0,89
2021-06-22,community,1000,0,56
2021-06-22,performing-arts,1000,0,57
2021-06-22,performing-arts,742,0,55
2021-06-22,performing-arts,843,0,56
2021-06-22,conferences,400,32400,49
2021-06-22,performing-arts,1000,0,58
2021-06-22,performing-arts,355,0,48
2021-06-22,expos,650,950399,54
2021-06-22,performing-arts,843,0,56
2021-06-22,performing-arts,467,0,51
2021-06-22,performing-arts,535,0,52
2021-06-22,performing-arts,1000,0,57
2021-06-22,performing-arts,422,0,50
2021-06-22,performing-arts,458,0,50
2021-06-22,performing-arts,480,0,51
2021-06-22,performing-arts,647,0,53
2021-06-22,performing-arts,666,0,54
2021-06-22,community,350,0,48
2021-06-23,performing-arts,1000,0,57
2021-06-23,concerts,350,0,48
2021-06-23,performing-arts,1000,0,58
2021-06-23,performing-arts,458,0,50
2021-06-23,performing-arts,467,0,51
2021-06-23,performing-arts,422,0,50
2021-06-23,performing-arts,843,0,56
2021-06-23,performing-arts,355,0,48
2021-06-23,performing-arts,1000,0,57
2021-06-23,performing-arts,742,0,55
2021-06-23,expos,650,950399,54
2021-06-23,community,1000,0,56
2021-06-23,performing-arts,480,0,51
2021-06-23,performing-arts,904,0,56
2021-06-23,performing-arts,355,0,48
2021-06-23,performing-arts,647,0,53
2021-06-23,performing-arts,666,0,54
2021-06-23,performing-arts,535,0,52
2021-06-23,sports,10000,9443,76
2021-06-23,performing-arts,432,0,50
2021-06-23,performing-arts,843,0,56
2021-06-23,performing-arts,732,0,54
2021-06-24,performing-arts,843,0,56
2021-06-24,performing-arts,1000,0,57
2021-06-24,conferences,400,118800,49
2021-06-24,performing-arts,432,0,50
2021-06-24,performing-arts,1000,0,58
2021-06-24,performing-arts,467,0,51
2021-06-24,concerts,800,14400,54
2021-06-24,expos,650,950399,54
2021-06-24,concerts,700,32400,52
2021-06-24,performing-arts,742,0,55
2021-06-24,performing-arts,1000,0,57
2021-06-24,performing-arts,1000,0,56
2021-06-24,performing-arts,732,0,54
2021-06-24,performing-arts,535,0,52
2021-06-24,community,350,0,48
2021-06-24,concerts,700,36060,53
2021-06-24,performing-arts,422,0,50
2021-06-24,performing-arts,696,0,54
2021-06-24,performing-arts,843,0,56
2021-06-24,performing-arts,458,0,50
2021-06-24,performing-arts,355,0,48
2021-06-24,performing-arts,666,0,54
2021-06-24,performing-arts,647,0,53
2021-06-24,performing-arts,480,0,51
2021-06-24,sports,10000,11059,76
2021-06-25,performing-arts,843,0,56
2021-06-25,performing-arts,1000,0,57
2021-06-25,sports,10000,10152,76
2021-06-25,performing-arts,422,0,50
2021-06-25,performing-arts,843,0,56
2021-06-25,performing-arts,535,0,52
2021-06-25,performing-arts,480,0,51
2021-06-25,performing-arts,666,0,54
2021-06-25,performing-arts,732,0,54
2021-06-25,expos,650,950399,54
2021-06-25,performing-arts,467,0,51
2021-06-25,performing-arts,742,0,55
2021-06-25,concerts,700,0,52
2021-06-25,community,350,14400,47
2021-06-25,performing-arts,1000,0,58
2021-06-25,performing-arts,696,0,54
2021-06-25,concerts,350,16200,48
2021-06-25,performing-arts,647,0,53
2021-06-25,community,350,0,49
2021-06-25,performing-arts,1000,0,57
2021-06-25,performing-arts,432,0,50
2021-06-25,performing-arts,355,0,48
2021-06-26,performing-arts,458,0,50
2021-06-26,concerts,350,0,48
2021-06-26,community,400,21600,48
